Q^2,xB,W^2,FL,errFL,experiment
0.75,0.0625,12.13,0.07109,0.01416,Whitlow/SLAC
0.75,0.166,4.65,0.08092,0.02903,Whitlow/SLAC
0.75,0.265,2.96,0.08879,0.04643,Whitlow/SLAC
0.75,0.0943,8.08,0.05595,0.03925,Whitlow/SLAC
0.75,0.117,6.55,0.06641,0.01914,Whitlow/SLAC
0.75,0.0769,9.88,0.07497,0.01291,Whitlow/SLAC
0.75,0.224,3.48,0.14175,0.06068,Whitlow/SLAC
0.75,0.167,4.63,0.09556,0.02233,Whitlow/SLAC
0.75,0.137,5.59,0.07095,0.01526,Whitlow/SLAC
0.75,0.113,6.77,0.12004,0.01859,Whitlow/SLAC
0.75,0.2,3.88,0.06157,0.03326,Whitlow/SLAC
1.75,0.442,3.09,0.06531,0.04964,Whitlow/SLAC
1.75,0.368,3.88,0.07796,0.02544,Whitlow/SLAC
1.75,0.296,5.03,0.06518,0.01799,Whitlow/SLAC
1.75,0.267,5.68,0.06767,0.01296,Whitlow/SLAC
1.75,0.226,6.88,0.08578,0.01688,Whitlow/SLAC
1.75,0.188,8.42,0.09386,0.01579,Whitlow/SLAC
1.75,0.157,10.31,0.08221,0.01338,Whitlow/SLAC
1.75,0.108,15.28,0.09179,0.01231,Whitlow/SLAC
1.75,0.0886,18.88,0.08045,0.01098,Whitlow/SLAC
1.75,0.345,4.2,0.07575,0.02038,Whitlow/SLAC
2.5,0.325,6.07,0.0573,0.01442,Whitlow/SLAC
2.5,0.475,3.64,0.03323,0.01458,Whitlow/SLAC
2.5,0.25,8.38,0.06156,0.01505,Whitlow/SLAC
2.5,0.55,2.93,0.03494,0.03146,Whitlow/SLAC
2.5,0.4,4.63,0.0811,0.03447,Whitlow/SLAC
2.5,0.175,12.67,0.06964,0.01163,Whitlow/SLAC
2.5,0.1,23.38,0.11299,0.03143,Whitlow/SLAC
3.75,0.686,2.59,0.01532,0.01469,Whitlow/SLAC
3.75,0.61,3.28,0.06099,0.06592,Whitlow/SLAC
3.75,0.534,4.15,0.0171,0.01253,Whitlow/SLAC
3.75,0.459,5.3,0.02452,0.02275,Whitlow/SLAC
3.75,0.385,6.88,0.02399,0.0156,Whitlow/SLAC
3.75,0.385,6.88,0.02399,0.0156,Whitlow/SLAC
3.75,0.311,9.19,0.04221,0.01598,Whitlow/SLAC
3.75,0.238,12.88,0.02847,0.02247,Whitlow/SLAC
3.75,0.166,19.74,0.08867,0.01865,Whitlow/SLAC
5.0,0.7,3.02,0.01162,0.01118,Whitlow/SLAC
5.0,0.55,4.97,0.00577,0.01481,Whitlow/SLAC
5.0,0.475,6.41,0.0174,0.00955,Whitlow/SLAC
5.0,0.325,11.26,0.03147,0.01165,Whitlow/SLAC
5.0,0.25,15.88,0.03431,0.01629,Whitlow/SLAC
5.0,0.175,24.45,0.10973,0.04248,Whitlow/SLAC
5.0,0.625,3.88,0.0156,0.02653,Whitlow/SLAC
5.0,0.4,8.38,0.00853,0.01233,Whitlow/SLAC
6.5,0.778,2.74,0.00062,0.00498,Whitlow/SLAC
6.5,0.703,3.62,0.00437,0.00306,Whitlow/SLAC
6.5,0.629,4.72,0.008,0.00481,Whitlow/SLAC
6.5,0.404,10.48,0.00533,0.00891,Whitlow/SLAC
6.5,0.479,7.95,0.01923,0.01005,Whitlow/SLAC
6.5,0.328,14.17,0.007,0.01234,Whitlow/SLAC
6.5,0.253,20.08,0.09826,0.04155,Whitlow/SLAC
6.5,0.554,6.12,0.00466,0.00668,Whitlow/SLAC
8.0,0.7,4.31,0.00597,0.00307,Whitlow/SLAC
8.0,0.775,3.2,0.00217,0.00167,Whitlow/SLAC
8.0,0.475,9.72,0.00086,0.01243,Whitlow/SLAC
8.0,0.55,7.43,0.01109,0.00462,Whitlow/SLAC
8.0,0.325,17.5,0.03838,0.0192,Whitlow/SLAC
8.0,0.25,24.88,0.08154,0.05853,Whitlow/SLAC
8.0,0.625,5.68,0.00475,0.00402,Whitlow/SLAC
8.0,0.4,12.88,0.01996,0.01046,Whitlow/SLAC
10.0,0.7,5.17,0.00376,0.00289,Whitlow/SLAC
10.0,0.625,6.88,0.00495,0.00428,Whitlow/SLAC
10.0,0.4,15.88,0.02115,0.0111,Whitlow/SLAC
10.0,0.55,9.06,0.00588,0.00588,Whitlow/SLAC
10.0,0.325,21.65,0.06944,0.02632,Whitlow/SLAC
10.0,0.775,3.78,0.00244,0.00166,Whitlow/SLAC
10.0,0.86,2.51,0.00292,0.00253,Whitlow/SLAC
10.0,0.475,11.93,0.00778,0.00782,Whitlow/SLAC
15.0,0.521,14.7,0.01211,0.00863,Whitlow/SLAC
15.0,0.881,2.92,0.00069,0.00034,Whitlow/SLAC
15.0,0.852,3.49,0.00026,0.00066,Whitlow/SLAC
15.0,0.764,5.53,0.00281,0.00132,Whitlow/SLAC
15.0,0.737,6.24,0.00155,0.00108,Whitlow/SLAC
15.0,0.686,7.74,0.00222,0.00258,Whitlow/SLAC
15.0,0.667,8.38,0.00033,0.00186,Whitlow/SLAC
15.0,0.61,10.48,-0.00347,0.0061,Whitlow/SLAC
15.0,0.595,11.11,0.00027,0.00499,Whitlow/SLAC
15.0,0.534,13.97,0.02001,0.01223,Whitlow/SLAC
15.0,0.444,19.63,-0.01979,0.02823,Whitlow/SLAC
15.0,0.805,4.51,0.00039,0.00062,Whitlow/SLAC
20.0,0.775,6.69,0.00064,0.00138,Whitlow/SLAC
20.0,0.7,9.45,0.0047,0.00478,Whitlow/SLAC
20.0,0.86,4.14,0.00031,0.00032,Whitlow/SLAC
