Q^2,xB,W^2,FL,errFL,experiment
0.75,0.327,2.42,0.05985,0.02077,E94110
0.75,0.313,2.52,0.05143,0.01891,E94110
0.75,0.202,3.85,0.0738,0.02913,E94110
0.75,0.207,3.75,0.08387,0.04445,E94110
0.75,0.213,3.65,0.10036,0.04686,E94110
0.75,0.219,3.55,0.10319,0.02111,E94110
0.75,0.226,3.45,0.08168,0.02134,E94110
0.75,0.233,3.35,0.07017,0.02177,E94110
0.75,0.24,3.25,0.07373,0.02242,E94110
0.75,0.248,3.15,0.08741,0.02346,E94110
0.75,0.32,2.47,0.06526,0.01954,E94110
0.75,0.257,3.05,0.09835,0.0221,E94110
0.75,0.367,2.17,0.11012,0.02518,E94110
0.75,0.628,1.32,0.04429,0.05484,E94110
0.75,0.603,1.37,0.19457,0.07104,E94110
0.75,0.307,2.57,0.06679,0.01865,E94110
0.75,0.301,2.62,0.06926,0.01711,E94110
0.75,0.295,2.67,0.08102,0.01743,E94110
0.75,0.268,2.92,0.0827,0.01855,E94110
0.75,0.289,2.72,0.09256,0.01816,E94110
0.75,0.284,2.77,0.06446,0.01896,E94110
0.75,0.264,2.97,0.07952,0.01756,E94110
0.75,0.278,2.82,0.10217,0.02049,E94110
0.75,0.273,2.87,0.10013,0.0196,E94110
0.75,0.579,1.42,0.12532,0.08941,E94110
0.75,0.342,2.32,0.07039,0.02553,E94110
0.75,0.35,2.27,0.06618,0.02812,E94110
0.75,0.358,2.22,0.17891,0.0279,E94110
0.75,0.376,2.12,0.05955,0.02201,E94110
0.75,0.386,2.07,0.02309,0.02121,E94110
0.75,0.396,2.02,0.0704,0.0201,E94110
0.75,0.407,1.97,0.02938,0.03018,E94110
0.75,0.418,1.92,0.04498,0.03121,E94110
0.75,0.443,1.82,0.05005,0.03424,E94110
0.75,0.334,2.37,0.0456,0.02261,E94110
0.75,0.456,1.77,0.07571,0.03622,E94110
0.75,0.47,1.72,0.05024,0.03905,E94110
0.75,0.486,1.67,0.06159,0.0442,E94110
0.75,0.502,1.62,0.10362,0.05084,E94110
0.75,0.519,1.57,-0.0296,0.07563,E94110
0.75,0.538,1.52,0.11515,0.0889,E94110
0.75,0.558,1.47,-0.08506,0.09945,E94110
0.75,0.43,1.87,0.05435,0.0336,E94110
1.75,0.626,1.92,0.04857,0.01086,E94110
1.75,0.605,2.02,0.02999,0.0113,E94110
1.75,0.379,3.75,0.06121,0.01445,E94110
1.75,0.594,2.07,0.03515,0.01153,E94110
1.75,0.396,3.55,0.0585,0.0144,E94110
1.75,0.78,1.37,0.02169,0.0183,E94110
1.75,0.523,2.47,0.02259,0.01377,E94110
1.75,0.566,2.22,0.09429,0.01619,E94110
1.75,0.557,2.27,0.09877,0.01674,E94110
1.75,0.494,2.67,0.03597,0.0149,E94110
1.75,0.548,2.32,0.07,0.0158,E94110
1.75,0.501,2.62,0.02347,0.01412,E94110
1.75,0.508,2.57,0.0187,0.01377,E94110
1.75,0.516,2.52,0.02044,0.01385,E94110
1.75,0.531,2.42,0.03338,0.0138,E94110
1.75,0.435,3.15,0.04233,0.01841,E94110
1.75,0.425,3.25,0.05651,0.01399,E94110
1.75,0.539,2.37,0.05106,0.01446,E94110
1.75,0.405,3.45,0.0625,0.01414,E94110
1.75,0.415,3.35,0.05996,0.01407,E94110
1.75,0.387,3.65,0.06303,0.01434,E94110
1.75,0.371,3.85,0.05709,0.01414,E94110
1.75,0.575,2.17,0.07334,0.01435,E94110
1.75,0.615,1.97,0.04148,0.01114,E94110
1.75,0.584,2.12,0.04548,0.01271,E94110
1.75,0.48,2.77,0.07577,0.0128,E94110
1.75,0.446,3.05,0.03884,0.01853,E94110
1.75,0.797,1.32,-0.00893,0.01508,E94110
1.75,0.763,1.42,0.06166,0.02229,E94110
1.75,0.455,2.97,0.09684,0.01206,E94110
1.75,0.746,1.47,0.05836,0.02359,E94110
1.75,0.731,1.52,0.02196,0.02347,E94110
1.75,0.716,1.57,0.02706,0.02082,E94110
1.75,0.487,2.72,0.05123,0.0159,E94110
1.75,0.702,1.62,0.0125,0.01792,E94110
1.75,0.674,1.72,0.03504,0.01716,E94110
1.75,0.662,1.77,0.05177,0.01796,E94110
1.75,0.649,1.82,0.0577,0.01784,E94110
1.75,0.638,1.87,0.05593,0.01798,E94110
1.75,0.461,2.92,0.08382,0.01296,E94110
1.75,0.467,2.87,0.09949,0.01341,E94110
1.75,0.474,2.82,0.08931,0.01328,E94110
1.75,0.688,1.67,0.02177,0.01753,E94110
2.5,0.783,1.57,0.01851,0.00821,E94110
2.5,0.736,1.77,0.02338,0.00792,E94110
2.5,0.562,2.82,0.07579,0.0117,E94110
2.5,0.677,2.07,0.03581,0.01176,E94110
2.5,0.695,1.97,0.02182,0.00567,E94110
2.5,0.705,1.92,0.01786,0.00539,E94110
2.5,0.715,1.87,0.01357,0.0084,E94110
2.5,0.626,2.37,0.00825,0.00934,E94110
2.5,0.556,2.87,0.0638,0.01186,E94110
2.5,0.544,2.97,0.03539,0.01076,E94110
2.5,0.535,3.05,0.04985,0.01196,E94110
2.5,0.55,2.92,0.043,0.01162,E94110
2.5,0.457,3.85,0.01983,0.02468,E94110
2.5,0.466,3.75,0.05856,0.02144,E94110
2.5,0.474,3.65,0.05374,0.02166,E94110
2.5,0.484,3.55,0.06393,0.02153,E94110
2.5,0.493,3.45,0.04942,0.02159,E94110
2.5,0.503,3.35,0.0338,0.02049,E94110
2.5,0.513,3.25,0.02709,0.02426,E94110
2.5,0.524,3.15,0.02719,0.02258,E94110
2.5,0.726,1.82,0.01738,0.00801,E94110
2.5,0.686,2.02,0.01409,0.00614,E94110
2.5,0.759,1.67,0.02395,0.00765,E94110
2.5,0.747,1.72,0.03739,0.00764,E94110
2.5,0.659,2.17,0.0676,0.01209,E94110
2.5,0.569,2.77,0.07229,0.01104,E94110
2.5,0.575,2.72,0.05791,0.00999,E94110
2.5,0.582,2.67,0.04158,0.00953,E94110
2.5,0.589,2.62,0.02677,0.00883,E94110
2.5,0.596,2.57,0.02123,0.0085,E94110
2.5,0.603,2.52,0.00123,0.00859,E94110
2.5,0.611,2.47,-0.00557,0.00845,E94110
2.5,0.618,2.42,-0.00574,0.00875,E94110
2.5,0.634,2.32,0.0199,0.01029,E94110
2.5,0.642,2.27,0.05306,0.01122,E94110
2.5,0.65,2.22,0.06867,0.01083,E94110
2.5,0.849,1.32,0.00317,0.00598,E94110
2.5,0.835,1.37,0.01639,0.00768,E94110
2.5,0.821,1.42,0.02718,0.00891,E94110
2.5,0.808,1.47,0.03655,0.00959,E94110
2.5,0.795,1.52,0.01343,0.00906,E94110
2.5,0.771,1.62,0.02661,0.0075,E94110
2.5,0.668,2.12,0.04368,0.01043,E94110
3.75,0.653,2.87,0.01986,0.01315,E94110
3.75,0.722,2.32,-0.00331,0.01264,E94110
3.75,0.708,2.42,0.00206,0.01148,E94110
3.75,0.682,2.62,0.01538,0.00984,E94110
3.75,0.676,2.67,0.01462,0.01055,E94110
3.75,0.67,2.72,0.03169,0.01112,E94110
3.75,0.558,3.85,0.00607,0.01898,E94110
3.75,0.567,3.75,0.00361,0.01867,E94110
3.75,0.575,3.65,0.02552,0.01865,E94110
3.75,0.774,1.97,0.00302,0.00669,E94110
3.75,0.584,3.55,0.03409,0.0182,E94110
3.75,0.613,3.25,0.02852,0.01534,E94110
3.75,0.623,3.15,0.01509,0.01202,E94110
3.75,0.633,3.05,0.01226,0.01229,E94110
3.75,0.642,2.97,0.01161,0.01264,E94110
3.75,0.664,2.77,0.03327,0.01193,E94110
3.75,0.659,2.82,0.00752,0.01297,E94110
3.75,0.593,3.45,0.02433,0.01668,E94110
3.75,0.894,1.32,-0.00304,0.002,E94110
3.75,0.883,1.37,0.00638,0.00247,E94110
3.75,0.873,1.42,0.0124,0.00297,E94110
3.75,0.715,2.37,0.00701,0.01202,E94110
3.75,0.647,2.92,0.0054,0.01343,E94110
3.75,0.729,2.27,0.02468,0.01396,E94110
3.75,0.736,2.22,0.02476,0.01121,E94110
3.75,0.743,2.17,0.01258,0.01024,E94110
3.75,0.751,2.12,0.01897,0.00885,E94110
3.75,0.758,2.07,0.01645,0.00835,E94110
3.75,0.689,2.57,-0.00133,0.00882,E94110
3.75,0.766,2.02,-0.00109,0.00743,E94110
3.75,0.782,1.92,0.00365,0.00647,E94110
3.75,0.79,1.87,0.00241,0.00591,E94110
3.75,0.834,1.62,0.00299,0.00326,E94110
3.75,0.844,1.57,0.00735,0.00347,E94110
3.75,0.853,1.52,0.00959,0.00399,E94110
3.75,0.863,1.47,0.01746,0.00308,E94110
3.75,0.702,2.47,0.00103,0.00866,E94110
3.75,0.603,3.35,0.03244,0.01606,E94110
